Jornada,Adversario,Local,Vuelta,Resultado,PTS_Loc,PTS_Vis,PTS_UCAM,PTS_Adversario,V/D,Avg
1,AND,Local,1ª Vuelta,95-64,95,64,95,64,VICTORIA,31
2,BGI,Visitante,1ª Vuelta,71-93,71,93,93,71,VICTORIA,22
3,CBC,Visitante,1ª Vuelta,96-80,96,80,80,96,DERROTA,-16
4,BAS,Local,1ª Vuelta,89-84,89,84,89,84,VICTORIA,5
5,BAR,Visitante,1ª Vuelta,78-81,78,81,81,78,VICTORIA,3
6,MAN,Local,1ª Vuelta,84-85,84,85,84,85,DERROTA,-1
7,BRE,Local,1ª Vuelta,83-96,83,96,83,96,DERROTA,-13
8,FLL,Visitante,1ª Vuelta,71-107,71,107,107,71,VICTORIA,36
9,BUR,Visitante,1ª Vuelta,88-110,88,110,110,88,VICTORIA,22
10,JOV,Local,1ª Vuelta,80-77,80,77,80,77,VICTORIA,3
11,VAL,Local,1ª Vuelta,92-80,92,80,92,80,VICTORIA,12
12,CBG,Visitante,1ª Vuelta,79-86,79,86,86,79,VICTORIA,7
13,RMA,Local,1ª Vuelta,80-91,80,91,80,91,DERROTA,-11
14,GCA,Visitante,1ª Vuelta,77-72,77,72,72,77,DERROTA,-5
15,BIL,Visitante,1ª Vuelta,96-82,96,82,82,96,DERROTA,-14
16,ZAR,Local,1ª Vuelta,90-84,90,84,90,84,VICTORIA,6
17,MAL,Visitante,1ª Vuelta,92-88,92,88,88,92,DERROTA,-4
18,BAR,Local,2ª Vuelta,84-83,84,83,84,83,VICTORIA,1
19,BRE,Visitante,2ª Vuelta,95-106,95,106,106,95,VICTORIA,11
20,BUR,Local,2ª Vuelta,101-82,101,82,101,82,VICTORIA,19
21,VAL,Visitante,2ª Vuelta,110-84,110,84,84,110,DERROTA,-26
22,GCA,Local,2ª Vuelta,87-76,87,76,87,76,VICTORIA,11
